Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Asset Freeze,Do [ice]9 damage. Next|turn[;] freeze [ice]3 coins,2,attack(9|ICE); jinx(~Asset Freeze~|~freeze [ice]%VAR% coins~|~Receive [ice]%VAR% freeze~|~inflict(ICE|%VAR%); sfx(\~_ice\~);~|self|self|1|3); sfx(~_ice~);,,COMBINATION,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:hh,,,,,,,,,,,,
Asset Freeze_upgraded,Do [ice]12 damage. Next|turn[;] freeze [ice]3 coins,2,attack(12|ICE); jinx(~Asset Freeze~|~freeze [ice]%VAR% coins~|~Receive [ice]%VAR% freeze~|~inflict(ICE|%VAR%); sfx(\~_ice\~);~|self|self|1|3); sfx(~_ice~);,,COMBINATION,,BRIGHTCYAN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hh,,,,,,,,,,,,
Asset Freeze_downgraded,Do [ice]5 damage. Next|turn[;] freeze [ice]3 coins,2,attack(5|ICE); jinx(~Asset Freeze~|~freeze [ice]%VAR% coins~|~Receive [ice]%VAR% freeze~|~inflict(ICE|%VAR%); sfx(\~_ice\~);~|self|self|1|3); sfx(~_ice~);,,COMBINATION,,BRIGHTCYAN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hh,,,,,,,,,,,,
Tail Whip,Do [fire]3 damage|Inflict [fire]1 burn,1,attack(3|FIRE); inflict(FIRE); sfx(~_fire~);,,ODD,,RED,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tail Whip_upgraded,Do [fire]3 damage|Inflict [fire]1 burn|,1,attack(3|FIRE); inflict(FIRE); sfx(~_fire~);,,ODD,,RED,,,,,3,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tail Whip_downgraded,Inflict [fire]1 burn,1,inflict(FIRE); sfx(~_fire~);,,ODD,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Deductable,Return a tails|Delay jinxes by [jinx]1,1,if(d >= 5) { givedice(5); } else { givedice(1); } if(self.status.length > 0) {var t = self.status.copy(); for(st in t){if (st.type.split(~_~)[0] == ~jinx~) {st.add(2);} }  boostjinxcountdowns(self|1); },,EVEN,,PINK,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Deductable_upgraded,Return a tails|Delay jinxes by [jinx]1|,1,if(d >= 5) { givedice(5); } else { givedice(1); } if(self.status.length > 0) {var t = self.status.copy(); for(st in t){if (st.type.split(~_~)[0] == ~jinx~) {st.add(2);} }  boostjinxcountdowns(self|1); },,EVEN,,PINK,,,,,2,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Deductable_downgraded,Return a tails,1,if(d >= 5) { givedice(5); } else { givedice(1); },,EVEN,,PINK,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Speculation,Do [sword]15 damage. In [jinx]2|turns[;] enemy heals [heal]10,2,attack(15); sfxdamage(target|15); jinx(~Speculation~|~the enemy heals [heal]%VAR% health~|~The enemy heals [heal]%VAR% health~|~attackself(-%VAR%); sfx(\~_heal\~);~|self|self|2|10);,,COMBINATION,,GREEN,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:htht,,,,,,,,,,,,
Speculation_upgraded,Do [sword]20 damage. In [jinx]2|turns[;] enemy heals [heal]10,2,attack(20); sfxdamage(target|20); jinx(~Speculation~|~the enemy heals [heal]%VAR% health~|~The enemy heals [heal]%VAR% health~|~attackself(-%VAR%); sfx(\~_heal\~);~|self|self|2|10);,,COMBINATION,,GREEN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:htht,,,,,,,,,,,,
Speculation_downgraded,Do [sword]10 damage. In [jinx]2|turns[;] enemy heals [heal]10,2,attack(10); sfxdamage(target|10); jinx(~Speculation~|~the enemy heals [heal]%VAR% health~|~The enemy heals [heal]%VAR% health~|~attackself(-%VAR%); sfx(\~_heal\~);~|self|self|2|10);,,COMBINATION,,GREEN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:htht,,,,,,,,,,,,
Macroeconomics,Do [sword]20 damage.,2,attack(20); sfxdamage(target|20);,,EVEN|ODD|ODD|EVEN,,RED,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Macroeconomics_upgraded,Do [sword]20 damage.,2,attack(20); sfxdamage(target|20);,,NORMAL|NORMAL|NORMAL|NORMAL,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Macroeconomics_downgraded,Do [sword]20 damage.,2,attack(20); sfxdamage(target|20);,,ODD|ODD|ODD|ODD,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Elastic Market,Do [sword]18 damage|Immune to errors,1,attack(18); sfxdamage(target|18);,,COMBINATION,,GRAY,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|errorimmune|combination:hhtt77,,,,,,,,,,,,
Elastic Market_upgraded,Do [sword]21 damage|Immune to errors,1,attack(21); sfxdamage(target|21);,,COMBINATION,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|errorimmune|combination:hhtt77,,,,,,,,,,,,
Elastic Market_downgraded,Do [sword]12 damage|Immune to errors,1,attack(12); sfxdamage(target|12);,,COMBINATION,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|errorimmune|combination:hhtt77,,,,,,,,,,,,
Buy Low,Do [sword]5 damage[;]|swap to Sell High|Immune to errors,2,attack(5); sfxdamage(target|5); giveequipment(~Sell High~|true|false|e); sfx(~_magic~);,,NORMAL|NORMAL,,GRAY,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|errorimmune,,,,,,,,,,,,
Buy Low_upgraded,Do [sword]7 damage[;]|swap to Sell High+|Immune to errors,2,attack(7); sfxdamage(target|7); giveequipment(~Sell High_upgraded~|true|false|e); sfx(~_magic~);,,NORMAL|NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|errorimmune,,,,,,,,,,,,
Buy Low_downgraded,Do [sword]2 damage[;]|swap to Sell High|Immune to errors,2,attack(2); sfxdamage(target|2); giveequipment(~Sell High~|true|false|e); sfx(~_magic~);,,NORMAL|NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|errorimmune,,,,,,,,,,,,
Buy Low_weakened,Do [sword]2 damage[;]|swap to Sell High+|Immune to errors,2,attack(2); sfxdamage(target|2); giveequipment(~Sell High_upgraded~|true|false|e); sfx(~_magic~);,,NORMAL|NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|errorimmune,,,,,,,,,,,,
Sell High,Do [sword]12 damage[;]|swap to Buy Low,2,attack(12); sfxdamage(target|12); giveequipment(~Buy Low~|true|false|e); sfx(~_magic~);,,MIN5|MIN5,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Sell High_upgraded,Do [sword]18 damage[;]|swap to Buy Low+,2,attack(18); sfxdamage(target|18); giveequipment(~Buy Low_upgraded~|true|false|e); sfx(~_magic~);,,MIN5|MIN5,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Sell High_downgraded,Do [sword]5 damage[;]|swap to Buy Low,2,attack(5); sfxdamage(target|5); giveequipment(~Buy Low~|true|false|e); sfx(~_magic~);,,MIN5|MIN5,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Sell High_weakened,Do [sword]5 damage[;]|swap to Buy Low+,2,attack(5); sfxdamage(target|5); giveequipment(~Buy Low_upgraded~|true|false|e); sfx(~_magic~);,,MIN5|MIN5,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Margin Economics,Do [sword]6 damage. On|silver: Take [sword]3 next turn,1,attack(6); sfxdamage(target|6); if(d<=2) {jinx(~Margin Economics~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%);~|self|self|1|3);},,NORMAL,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Margin Economics_upgraded,Do [sword]8 damage. On|silver: Take [sword]3 next turn,1,attack(8); sfxdamage(target|8); if(d<=2) {jinx(~Margin Economics~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%);~|self|self|1|3);},,NORMAL,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Margin Economics_downgraded,Do [sword]6 damage. On|silver: Take [sword]6 next turn,1,attack(6); sfxdamage(target|6); if(d<=2) {jinx(~Margin Economics~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%);~|self|self|1|6);},,NORMAL,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Subsidy,Do [sword]5 damage|If equal[;] return a coin,1,attack(5); sfxdamage(target|5); var ad0 = actualdice[0].basevalue; var ad1 = actualdice[1].basevalue; if(ad0>=5) {ad0-=4;} if(ad1>=5) {ad1-=4;} if(ad0==ad1) {givedice(actualdice[0].basevalue);},,NORMAL|NORMAL,,RED,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Subsidy_upgraded,Do [sword]5 damage|If equal[;] return a gold coin,1,attack(5); sfxdamage(target|5); var ad0 = actualdice[0].basevalue; var ad1 = actualdice[1].basevalue; if(ad0>=5) {ad0-=4;} if(ad1>=5) {ad1-=4;} if(ad0==ad1) {givedice(ad0+4);},,NORMAL|NORMAL,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Subsidy_downgraded,Do [sword]5 damage,1,attack(5); sfxdamage(target|5);,,EVEN|ODD,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Limited Time Offer,Unlocks a [sword]5 reusable|attack until end of turn,1,giveequipment(~Limited Time Offer@open~|true|false|e); sfx(~_magic~);,,COMBINATION,,GRAY,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|combination:hth,,,,,,,,,,,,
Limited Time Offer_upgraded,Unlocks a [sword]8 reusable|attack until end of turn,1,giveequipment(~Limited Time Offer@open_upgraded~|true|false|e); sfx(~_magic~);,,COMBINATION,,GRAY,,,,,0,YES,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|combination:hth,,,,,,,,,,,,
Limited Time Offer_downgraded,Do [sword]5 damage,1,attack(5); sfxdamage(target|5);,,COMBINATION,,GRAY,,,,,0,YES,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid|combination:hth,,,,,,,,,,,,
Limited Time Offer@open,Do [sword] 5 damage|,1,attack(5); sfxdamage(target|5);,,NORMAL,,RED,change_power,change_power,,,-1,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Limited Time Offer~|true|false|e); sfx(~_magic~);,,giveequipment(~Limited Time Offer~|true|false|e); sfx(~_magic~);,,,giveequipment(~Limited Time Offer~|true|false|e); sfx(~_magic~);,,,,
Limited Time Offer@open_upgraded,Do [sword] 8 damage|,1,attack(8); sfxdamage(target|8);,,NORMAL,,RED,,,,,-1,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Limited Time Offer_upgraded~|true|false|e); sfx(~_magic~);,,giveequipment(~Limited Time Offer_upgraded~|true|false|e); sfx(~_magic~);,,,giveequipment(~Limited Time Offer_upgraded~|true|false|e); sfx(~_magic~);,,,,
Limited Time Offer@open_downgraded,Do [sword] 3 damage|,1,attack(3); sfxdamage(target|3);,,NORMAL,,RED,,,,,-1,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Limited Time Offer~|true|false|e); sfx(~_magic~);,,giveequipment(~Limited Time Offer~|true|false|e); sfx(~_magic~);,,,giveequipment(~Limited Time Offer~|true|false|e); sfx(~_magic~);,,,,
Limited Time Offer@open_weakened,Do [sword] 3 damage|,1,attack(3); sfxdamage(target|3);,,NORMAL,,RED,,,,,-1,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Limited Time Offer_upgraded~|true|false|e); sfx(~_magic~);,,giveequipment(~Limited Time Offer_upgraded~|true|false|e); sfx(~_magic~);,,,giveequipment(~Limited Time Offer_upgraded~|true|false|e); sfx(~_magic~);,,,,
Bank Account,Silver: Store coin in here|Gold: Withdraw all coins[;] do|[sword]3 per coin (Stored: <evar:storedcount>),1,var mult = 3; var heads = e.getvar(~storedheads~); var tails = e.getvar(~storedtails~); if(d==1) {e.setvar(~storedtails~|tails+1); sfx(~_thinghappens~);} if(d==2) {e.setvar(~storedheads~|heads+1); sfx(~_thinghappens~);} e.setvar(~storedcount~|heads+tails+1); if(d>=5) {e.setvar(~storedcount~|0); e.setvar(~storedtails~|0); e.setvar(~storedheads~|0); var coins = []; for(i in 0...heads) {coins.push(2);} for(i in 0...tails) {coins.push(1);} givedice(coins); var dmg = heads+tails; attack(dmg*mult); sfxdamage(target|dmg*mult);},,NORMAL,,YELLOW,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,e.setvar(~storedcount~|0); e.setvar(~storedheads~|0); e.setvar(~storedtails~|0),e.setvar(~storedcount~|0); e.setvar(~storedheads~|0); e.setvar(~storedtails~|0),,,,,,if(d <= 2){ e.castdirection = -1; } else { e.castdirection = 1; },,,
Bank Account_upgraded,Silver: Store coin in here|Gold: Withdraw all coins[;] do|[sword]5 per coin (Stored: <evar:storedcount>),1,var mult = 5; var heads = e.getvar(~storedheads~); var tails = e.getvar(~storedtails~); if(d==1) {e.setvar(~storedtails~|tails+1); sfx(~_thinghappens~);} if(d==2) {e.setvar(~storedheads~|heads+1); sfx(~_thinghappens~);} e.setvar(~storedcount~|heads+tails+1); if(d>=5) {e.setvar(~storedcount~|0); e.setvar(~storedtails~|0); e.setvar(~storedheads~|0); var coins = []; for(i in 0...heads) {coins.push(2);} for(i in 0...tails) {coins.push(1);} givedice(coins); var dmg = heads+tails; attack(dmg*mult); sfxdamage(target|dmg*mult);},,NORMAL,,YELLOW,,,,,0,YES,NO,reunion|excludefromrandomlists,,e.setvar(~storedcount~|0); e.setvar(~storedheads~|0); e.setvar(~storedtails~|0),e.setvar(~storedcount~|0); e.setvar(~storedheads~|0); e.setvar(~storedtails~|0),,,,,,if(d <= 2){ e.castdirection = -1; } else { e.castdirection = 1; },,,
Bank Account_downgraded,Silver: Store coin in here|Gold: Withdraw all coins[;] do|[sword]3 per coin (Stored: <evar:storedcount>),1,var mult = 3; var heads = e.getvar(~storedheads~); var tails = e.getvar(~storedtails~); if(d==1) {e.setvar(~storedtails~|tails+1); sfx(~_thinghappens~);} if(d==2) {e.setvar(~storedheads~|heads+1); sfx(~_thinghappens~);} e.setvar(~storedcount~|heads+tails+1); if(d>=5) {e.setvar(~storedcount~|0); e.setvar(~storedtails~|0); e.setvar(~storedheads~|0); var coins = []; for(i in 0...heads) {coins.push(2);} for(i in 0...tails) {coins.push(1);} givedice(coins); var dmg = heads+tails; attack(dmg*mult); sfxdamage(target|dmg*mult);},,ODD,,YELLOW,,,,,0,YES,NO,reunion|excludefromrandomlists,,e.setvar(~storedcount~|0); e.setvar(~storedheads~|0); e.setvar(~storedtails~|0),e.setvar(~storedcount~|0); e.setvar(~storedheads~|0); e.setvar(~storedtails~|0),,,,,,if(d <= 2){ e.castdirection = -1; } else { e.castdirection = 1; },,,
Delayed Income,Add a tails and a heads to|the CPU. Next turn[;] gain|a tails and a heads.,1,inflictself(~stash~+1|1); inflictself(~stash~+2|1); inflictself(~illuminate_coin~); sfx(~_magic~); adjustrobotcounter(1); adjustrobotcounter(2);,,EVEN,,GREEN,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Delayed Income_upgraded,Add a tails and a heads to|the CPU. Next turn[;] gain|a tails and a heads.,1,inflictself(~stash~+1|1); inflictself(~stash~+2|1); inflictself(~illuminate_coin~); sfx(~_magic~); adjustrobotcounter(1); adjustrobotcounter(2);,,NORMAL,,GREEN,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Delayed Income_downgraded,Add a tails and a heads to|the CPU. Next turn[;] gain|a tails and a heads.,1,inflictself(~stash~+1|1); inflictself(~stash~+2|1); inflictself(~illuminate_coin~); sfx(~_magic~); adjustrobotcounter(1); adjustrobotcounter(2);,,EVEN|EVEN,,GREEN,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Troy Weights,Silver: Inflict 2 Troy Ounces|Gold: Inflict 3 Troy Ounces|,1,var add=2; if(d>=5) {add++;} inflict(~troyounce~|add); sfx(~_trustfund~);,,NORMAL,,GRAY,change_power,change_power,,,2,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Troy Weights_upgraded,Silver: Inflict 2 Troy Ounces|Gold: Inflict 3 Troy Ounces|,1,var add=2; if(d>=5) {add++;} inflict(~troyounce~|add); sfx(~_trustfund~);,,NORMAL,,GRAY,,,,,-1,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
