Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Troy Weights_downgraded,Silver: Inflict 2 Troy Ounces|Gold: Inflict 3 Troy Ounces|,1,var add=2; if(d>=5) {add++;} inflict(~troyounce~|add); sfx(~_trustfund~);,,ODD,,GRAY,,,,,2,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Long Term Contract,Do [sword]6 damage|Next turn[;] lock [lock]1 coin|,1,attack(6); sfxdamage(target|6); jinx(~Long-Term Contract~|~gain [lock]%VAR% lock~|~Gain [lock]%VAR% lock~|~inflict(LOCK|%VAR%); sfx(\~_lock\~);~|self|self|1|1);,,EVEN,,GRAY,change_power,change_power,,,3,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Long Term Contract_upgraded,Do [sword]6 damage|Next turn[;] lock [lock]1 coin|,1,attack(6); sfxdamage(target|6); jinx(~Long-Term Contract~|~gain [lock]%VAR% lock~|~Gain [lock]%VAR% lock~|~inflict(LOCK|%VAR%); sfx(\~_lock\~);~|self|self|1|1);,,NORMAL,,GRAY,,,,,3,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Long Term Contract_downgraded,Do [sword]3 damage|Next turn[;] lock [lock]1 coin|,1,attack(3); sfxdamage(target|3); jinx(~Long-Term Contract~|~gain [lock]%VAR% lock~|~Gain [lock]%VAR% lock~|~inflict(LOCK|%VAR%); sfx(\~_lock\~);~|self|self|1|1);,,EVEN,,GRAY,,,,,3,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Lightning Capital,Do [shock]10 damage[;] add [shock]2|Starts each turn [shock]shocked,1,attack(10|~shock~); sfx(~_shock~); sfxdamage(target|10); inflict(~shock~|2);,,COMBINATION,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:hth,,,,,e.animate(SHOCK);,,,,,,,
Lightning Capital_upgraded,Do [shock]12 damage[;] add [shock]3|Starts each turn [shock]shocked,1,attack(12|~shock~); sfx(~_shock~); sfxdamage(target|12); inflict(~shock~|3);,,COMBINATION,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hth,,,,,e.animate(SHOCK);,,,,,,,
Lightning Capital_downgraded,Do [shock]7 damage[;] add [shock]1|Starts each turn [shock]shocked,1,attack(7|~shock~); sfx(~_shock~); sfxdamage(target|7); inflict(~shock~|1);,,COMBINATION,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hth,,,,,e.animate(SHOCK);,,,,,,,
Startup Venture,Do [sword]4 damage|On gold[;] transforms until|end of combat,2,attack(4); sfxdamage(target|4); if(d>=5) {giveequipment(~Startup Venture@gold~|true|false|e); sfx(~_magic~);},,NORMAL,,GRAY,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Startup Venture_upgraded,Do [sword]4 damage|On gold[;] transforms until|end of combat,2,attack(4); sfxdamage(target|4); if(d>=5) {giveequipment(~Startup Venture@gold_upgraded~|true|false|e); sfx(~_magic~);},,NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Startup Venture_downgraded,Do [sword]4 damage|If both are gold[;] transforms|until end of combat,2,attack(4); sfxdamage(target|4); if(d>=10) {giveequipment(~Startup Venture@gold~|true|false|e); sfx(~_magic~);},,NORMAL|NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Startup Venture_weakened,Do [sword]4 damage|If both are gold[;] transforms|until end of combat,2,attack(4); sfxdamage(target|4); if(d>=10) {giveequipment(~Startup Venture@gold_upgraded~|true|false|e); sfx(~_magic~);},,NORMAL|NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|cannotreuse|curseavoid,,,,,,,,,,,,
Startup Venture@gold,Do [sword]7 damage|Gain 3 limit charge,2,attack(7); sfxdamage(target|7); self.limitvalue += 3; if(self.limitvalue >= self.limitmax) {self.limitvalue = self.limitmax;},,NORMAL,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Startup Venture~|true|false|e); sfx(~_magic~);,,,,,,,,,
Startup Venture@gold_upgraded,Do [sword]9 damage|Gain 4 limit charge,2,attack(9); sfxdamage(target|9); self.limitvalue += 4; if(self.limitvalue >= self.limitmax) {self.limitvalue = self.limitmax;},,NORMAL,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Startup Venture_upgraded~|true|false|e); sfx(~_magic~);,,,,,,,,,
Startup Venture@gold_downgraded,Do [sword]7 damage|Gain 3 limit charge,2,attack(7); sfxdamage(target|7); self.limitvalue += 3; if(self.limitvalue >= self.limitmax) {self.limitvalue = self.limitmax;},,NORMAL|NORMAL,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Startup Venture~|true|false|e); sfx(~_magic~);,,,,,,,,,
Startup Venture@gold_weakened,Do [sword]7 damage|Gain 3 limit charge,2,attack(7); sfxdamage(target|7); self.limitvalue += 3; if(self.limitvalue >= self.limitmax) {self.limitvalue = self.limitmax;},,NORMAL|NORMAL,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,giveequipment(~Startup Venture_upgraded~|true|false|e); sfx(~_magic~);,,,,,,,,,
Last in Stock,Do [sword]7[;] +[sword]7 on gold|[gray](once per battle),1,var dmg = 7; if(d>=5) {dmg += 7;} attack(dmg); sfxdamage(target|dmg);,,EVEN,,YELLOW,change_power,change_power,,,0,NO,YES,reunion|excludefromrandomlists,,,,,,,,,,,,
Last in Stock_upgraded,Do [sword]10[;] +[sword]10 on gold|[gray](once per battle),1,var dmg = 10; if(d>=5) {dmg += 10;} attack(dmg); sfxdamage(target|dmg);,,EVEN,,YELLOW,,,,,0,NO,YES,reunion|excludefromrandomlists,,,,,,,,,,,,
Last in Stock_downgraded,Do [sword]7[;] +[sword]7 on gold|[gray](once per battle),1,var dmg = 7; if(d>=5) {dmg += 7;} attack(dmg); sfxdamage(target|dmg);,,EVEN|EVEN,,YELLOW,,,,,0,NO,YES,reunion|excludefromrandomlists,,,,,,,,,,,,
To The Moon,Do [sword]1 damage. On last|use[;] +[sword]2 and return coin|,1,var dmg = 1; var u = e.getvar(~used~); if(u==2) {givedice(d); dmg+=2;} attack(dmg); sfxdamage(target|dmg); e.setvar(~used~|u+1);,,NORMAL,,GRAY,change_power,change_power,,,3,NO,NO,reunion|excludefromrandomlists,,,,,e.setvar(~used~|0);,,,,,,,
To The Moon_upgraded,Do [sword]2 damage. On last|use[;] +[sword]3 and return coin|,1,var dmg = 2; var u = e.getvar(~used~); if(u==2) {givedice(d); dmg+=3;} attack(dmg); sfxdamage(target|dmg); e.setvar(~used~|u+1);,,NORMAL,,GRAY,,,,,3,NO,NO,reunion|excludefromrandomlists,,,,,e.setvar(~used~|0);,,,,,,,
To The Moon_downgraded,Do [sword]2 damage.|Return the coin,1,attack(2); sfxdamage(target|2); givedice(d);,,NORMAL,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,e.setvar(~used~|0);,,,,,,,
Starglimmer,Do [sword]4 damage|Add a random status,1,attack(4); var randstatus = rand([CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON]); inflict(randstatus|1); sfxdamage(target|4); sfx(~_~ + randstatus.toLowerCase()|~~|0.2);,,DOUBLES|DOUBLES,,PINK,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Starglimmer_upgraded,Do [sword]4 damage|Add 2x random status,1,attack(4); var randstatus = rand([CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON]); inflict(randstatus|2); sfxdamage(target|4); sfx(~_~ + randstatus.toLowerCase()|~~|0.2);,,DOUBLES|DOUBLES,,PINK,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Starglimmer_downgraded,Add a random status,1,var randstatus = rand([CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON]); inflict(randstatus|1); sfx(~_~ + randstatus.toLowerCase()|~~|0.2);,,DOUBLES|DOUBLES,,PINK,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 1 Clue,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 1 Standard,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 1 Synergy,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 2 Clue,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 2 Standard,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 2 Synergy,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 3 Standard A,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 3 Standard B,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tier 3 Synergy,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Map Scrap,Do[sword]1 damage|Gain [clue]1 clue,2,inflictself(~clue~); attack(1); sfxdamage(target|1);,,MIN3,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Map Scrap_upgraded,Do[sword]1 damage|Gain [clue]1 clue,2,inflictself(~clue~); attack(1); sfxdamage(target|1);,,NORMAL,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Map Scrap_downgraded,Do[sword]1 damage|Gain [clue]1 clue,2,inflictself(~clue~); attack(1); sfxdamage(target|1);,,MIN5,,YELLOW,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Ahoy,Do [sword]2 damage,2,attack(2); sfxdamage(target|2);,,NORMAL,,RED,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Ahoy_upgraded,Do [sword]2 damage|Upgrade not implemented,2,attack(2); sfxdamage(target|2);,,NORMAL,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Ahoy_downgraded,Do [sword]1 damage,2,attack(1); sfxdamage(target|1);,,NORMAL,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Seeker's Map,Draw a card. On 4 or more[;]|instead gain [clue]2 clues,2,if(d>=4) {inflictself(~clue~|2);} else {Deck.drawlimit_bonus += 1; Deck.advance();},,NORMAL,,YELLOW,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Seeker's Map_upgraded,Draw a card. On 4 or more[;]|also gain [clue]2 clues,2,if(d>=4) {inflictself(~clue~|2);} Deck.drawlimit_bonus += 1; Deck.advance();,,NORMAL,,YELLOW,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Seeker's Map_downgraded,Draw a card. On 5[;]|instead gain [clue]2 clues,2,if(d>=4) {inflictself(~clue~|2);} else {Deck.drawlimit_bonus += 1; Deck.advance();},,ODD,,YELLOW,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Metal Engraving,Gain [clue]2 clues|Gain [shield]2 shield,2,inflictself(~clue~|2); inflictself(~shield~|2);,,EVEN,,ORANGE,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Metal Engraving_upgraded,Gain [clue]2 clues|Gain [shield]2 shield,2,inflictself(~clue~|2); inflictself(~shield~|2);,,NORMAL,,ORANGE,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Metal Engraving_downgraded,Gain [clue]1 clue|Gain [shield]1 shield,2,inflictself(~clue~|1); inflictself(~shield~|1);,,EVEN,,ORANGE,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Rose Compass,Gain [clue]2 clues|If you are at [secret]Hidden [yellow]Card[]|tier 1 or 0[;] gain [thorns]2 thorns,2,inflictself(~clue~|2); if(getstatusself(~cardtier0~) >= 1) {inflictself(THORNS|2);} if(getstatusself(~cardtier1~) >= 1) {inflictself(THORNS|2); sfx(~_thorns~);},,MAX5,,GREEN,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Rose Compass_upgraded,Gain [clue]2 clues|If you are at [secret]Hidden [yellow]Card[]|tier 1 or 0[;] gain [thorns]4 thorns,2,inflictself(~clue~|2); if(getstatusself(~cardtier0~) >= 1) {inflictself(THORNS|4);} if(getstatusself(~cardtier1~) >= 1) {inflictself(THORNS|4); sfx(~_thorns~);},,MAX5,,GREEN,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Rose Compass_downgraded,If you are at [secret]Hidden [yellow]Card[]|tier 1 or 0[;] gain [thorns]2 thorns,2,if(getstatusself(~cardtier0~) >= 1) {inflictself(THORNS|3);} if(getstatusself(~cardtier1~) >= 1) {inflictself(THORNS|2); sfx(~_thorns~);},,MAX5,,GREEN,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Oar,1-3: Do [weaken]<d6> damage|4-6: Inflict [weaken]1 weaken,2,if(d<=3) {attack(d|WEAKEN); sfxdamage(target|d);} else {inflict(WEAKEN);} sfx(~_weaken~);,,NORMAL,,ORANGE,change_power,change_power,,,0,NO,NO,reunion,,,,,,,,,,,,
Oar_upgraded,1-4: Do [weaken]<d6> damage|5-6: Inflict [weaken]2 weaken,2,if(d<=4) {attack(d|WEAKEN); sfxdamage(target|d);} else {inflict(WEAKEN|2);} sfx(~_weaken~);,,NORMAL,,ORANGE,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Oar_downgraded,1-3: Do [weaken]<d6> damage|4-6: Inflict [weaken]1 weaken,2,if(d<=3) {attack(d|WEAKEN); sfxdamage(target|d);} else {inflict(WEAKEN);} sfx(~_weaken~);,,ODD,,ORANGE,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Paddle Toss,Do [weaken]3 damage[;] inflict [weaken]<d6>|weaken in [jinx]<d6>-2 turns,2,attack(3|WEAKEN); sfxdamage(target|3); if(d<=2) {inflict(WEAKEN|d); sfx(~_weaken~);} else {jinx(~Paddle Toss~|~gain [weaken]%VAR% weaken~|~Gain [weaken]%VAR% weaken~|~inflict(WEAKEN|%VAR%); sfx(\~_weaken\~);~|target|self|d-2|d); sfx(~_thinghappens~);} sfx(~_weaken~);,,NORMAL,,ORANGE,change_power,change_power,,,0,NO,NO,reunion,,,,,,,,,,,,
Paddle Toss_upgraded,Do [weaken]6 damage[;] inflict [weaken]<d6>|weaken in [jinx]<d6>-2 turns,2,attack(6|WEAKEN); sfxdamage(target|6); if(d<=2) {inflict(WEAKEN|d); sfx(~_weaken~);} else {jinx(~Paddle Toss~|~gain [weaken]%VAR% weaken~|~Gain [weaken]%VAR% weaken~|~inflict(WEAKEN|%VAR%); sfx(\~_weaken\~);~|target|self|d-2|d); sfx(~_thinghappens~);} sfx(~_weaken~);,,NORMAL,,ORANGE,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Paddle Toss_downgraded,Do [weaken]1 damage[;] inflict [weaken]<d6>|weaken in [jinx]<d6> turns,2,attack(1|WEAKEN); sfxdamage(target|1); jinx(~Paddle Toss~|~gain [weaken]%VAR% weaken~|~Gain [weaken]%VAR% weaken~|~inflict(WEAKEN|%VAR%); sfx(\~_weaken\~);~|target|self|d|d); sfx(~_thinghappens~); sfx(~_weaken~);,,NORMAL,,ORANGE,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Scull Boat,Do [weaken]5 damage[;] draw a|card for each [weaken]weaken|on the target,2,attack(5|WEAKEN); sfxdamage(target|5); for(i in 0...getstatus(WEAKEN)) {Deck.drawlimit_bonus += 1; Deck.advance();} sfx(~_weaken~);,,MAX4,,ORANGE,change_power,change_power,,,0,NO,NO,reunion,,,,,,,,,,,,
Scull Boat_upgraded,Do [weaken]5 damage[;] draw a|card for each [weaken]weaken|on the target,2,attack(5|WEAKEN); sfxdamage(target|5); for(i in 0...getstatus(WEAKEN)) {Deck.drawlimit_bonus += 1; Deck.advance();} sfx(~_weaken~);,,NORMAL,,ORANGE,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Scull Boat_downgraded,Do [weaken]5 damage[;] draw a|card for each [weaken]weaken|on the target,2,attack(5|WEAKEN); sfxdamage(target|5); for(i in 0...getstatus(WEAKEN)) {Deck.drawlimit_bonus += 1; Deck.advance();} sfx(~_weaken~);,,MAX2,,ORANGE,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Weaken 3,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Weaken 3_upgraded,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Weaken 3_downgraded,Something went wrong!|Please contact parchmentEngineer,2,,,,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Tradewinds,Do [sword]3 damage|Returns a 4[;] 5[;] or 6,2,attack(3); sfxdamage(target|3); givedice(rand([4|5|6]));,,NORMAL,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,reunion,,,,,,,,,,,,
Tradewinds_upgraded,Do [sword]6 damage|Returns a 4[;] 5[;] or 6,2,attack(6); sfxdamage(target|6); givedice(rand([4|5|6]));,,NORMAL,,BRIGHTCYAN,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Tradewinds_downgraded,Returns a 4[;] 5[;] or 6,2,givedice(rand([4|5|6]));,,NORMAL,,BRIGHTCYAN,,,,,0,NO,NO,reunion,,,,,,,,,,,,
Ka Ching,Invest [gold]1 coin,2,inflictself(~invest~);,,COMBINATION,,YELLOW,,,,,0,YES,NO,reunion|excludefromrandomlists|combination:hhh,,,,,,,,,,,,
Ka Chunk,Do [sword]2 damage|Heads: Do [sword]1 more,2,var dmg = 2; if(d%2==0) {dmg += 1;} attack(dmg); sfxdamage(target|dmg);,,NORMAL,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
